GAME,WINNER,TIME,random,random
708,0,0.19325709342956543,38,26
709,1,0.19137394428253174,24,36
710,0,0.14378893375396729,35,23
711,0,0.13387906551361084,36,22
712,0,0.1727389097213745,35,21
713,1,0.1633840799331665,19,37
714,0,0.1670609712600708,36,24
715,0,0.1675570011138916,36,24
716,0,0.14517807960510254,36,16
717,0,0.15073096752166748,35,17
718,0,0.15584206581115723,35,21
719,0,0.16237807273864746,37,23
720,0,0.16876304149627686,38,22
721,1,0.18855798244476318,26,38
722,1,0.17393898963928223,23,37
723,0,0.1557389497756958,37,25
724,0,0.17556095123291016,37,27
725,0,0.17788898944854736,39,24
726,1,0.1392810344696045,23,37
727,1,0.15664398670196533,23,37
728,0,0.1759939193725586,39,38
729,1,0.15434503555297852,23,35
730,0,0.166795015335083,35,21
731,1,0.13083195686340332,20,36
732,1,0.14830195903778076,23,35
733,1,0.159837007522583,24,36
734,0,0.1958770751953125,38,26
735,0,0.1752779483795166,38,22
736,0,0.15496397018432617,35,35
737,1,0.1724410057067871,20,36
738,0,0.20198297500610352,41,26
739,0,0.16524600982666016,35,21
740,0,0.15149307250976562,37,23
741,1,0.16307103633880615,27,37
742,1,0.1742720603942871,23,37
743,0,0.15846800804138184,35,21
744,1,0.14718997478485107,23,36
745,1,0.17472410202026367,22,38
746,0,0.15824496746063232,36,24
747,0,0.15894997119903564,37,23
748,1,0.1467909812927246,21,35
749,0,0.15383493900299072,35,21
750,0,0.1559540033340454,35,21
751,1,0.1551210880279541,23,42
752,1,0.14781606197357178,24,36
753,0,0.1493549346923828,36,20
754,1,0.18992698192596436,23,37
755,0,0.16256999969482422,38,22
756,0,0.14757490158081055,38,22
757,1,0.14857208728790283,15,37
758,1,0.1559230089187622,24,36
759,1,0.16425204277038574,26,38
760,1,0.15091395378112793,20,36
761,1,0.16313910484313965,23,35
762,1,0.16328799724578857,20,36
763,0,0.1324399709701538,35,21
764,0,0.14911794662475586,38,22
765,0,0.16099095344543457,36,24
766,1,0.16210103034973145,19,37
767,0,0.16607606410980225,36,24
768,1,0.15967798233032227,22,36
769,1,0.16084802150726318,21,37
770,0,0.147413969039917,36,24
771,0,0.1806349754333496,36,24
772,1,0.1585829257965088,21,35
773,0,0.17639505863189697,37,19
774,1,0.18247604370117188,23,37
775,1,0.15127193927764893,24,36
776,1,0.17664992809295654,38,39
777,0,0.1427069902420044,36,20
778,1,0.15800297260284424,24,36
779,0,0.17454802989959717,37,23
780,0,0.14140105247497559,36,22
781,0,0.16030704975128174,35,21
782,0,0.17543506622314453,38,26
783,0,0.15929293632507324,36,22
784,0,0.16538095474243164,36,24
785,0,0.1465439796447754,38,22
786,1,0.1407400369644165,21,35
787,0,0.1436699628829956,35,21
788,1,0.1806429624557495,23,37
789,0,0.147894024848938,35,21
790,0,0.16981208324432373,37,23
791,0,0.1576991081237793,36,20
792,1,0.17113304138183594,21,35
793,1,0.15663492679595947,22,38
794,1,0.14545702934265137,26,35
795,0,0.15659105777740479,35,21
796,1,0.15952801704406738,20,36
797,1,0.14899206161499023,18,37
798,0,0.14443492889404297,36,22
799,0,0.1484440565109253,37,23
800,0,0.12514901161193848,37,26
801,0,0.1215740442276001,36,24
802,0,0.14428210258483887,35,35
803,1,0.14035606384277344,21,35
804,0,0.17538809776306152,40,26
805,0,0.161857008934021,34,22
806,1,0.16267597675323486,22,38
807,0,0.14813709259033203,38,22
808,0,0.14424502849578857,38,24
809,1,0.18739891052246094,26,38
810,1,0.16312098503112793,38,39
811,1,0.20982205867767334,24,36
812,1,0.13575303554534912,20,36
813,0,0.17910003662109375,37,27
814,1,0.23197698593139648,29,41
815,1,0.17709898948669434,22,38
816,1,0.1503310203552246,24,36
