GAME,WINNER,TIME,random,random,random
613,2,0.2607870101928711,26,21,39
614,2,0.2619340419769287,22,23,39
615,2,0.27065610885620117,37,23,39
616,2,0.2715189456939697,22,27,40
617,1,0.29766297340393066,26,41,24
618,0,0.33735203742980957,41,25,27
619,1,0.2846120595932007,26,39,28
620,2,0.3087270259857178,23,23,41
621,0,0.2761949300765991,38,25,27
622,1,0.23893499374389648,23,37,19
623,1,0.22720694541931152,21,40,21
624,2,0.2317420244216919,24,20,36
625,2,0.2713799476623535,27,25,41
626,0,0.2530839443206787,41,22,27
627,0,0.26899194717407227,44,26,30
628,0,0.251971960067749,40,22,23
629,0,0.2493150234222412,41,28,23
630,1,0.2872530221939087,22,37,30
631,1,0.2630620002746582,23,39,24
632,1,0.2584630250930786,26,40,23
633,1,0.2607940435409546,36,38,19
634,2,0.24198293685913086,25,24,40
635,2,0.25775206089019775,27,27,42
636,1,0.2612999677658081,25,39,25
637,1,0.22643697261810303,28,39,22
638,1,0.2863990068435669,27,39,24
639,0,0.23486995697021484,40,22,19
640,1,0.22694909572601318,26,36,18
641,0,0.22075605392456055,40,24,24
642,1,0.2895009517669678,30,44,33
643,0,0.308230996131897,41,28,22
644,0,0.2941809892654419,43,27,27
645,1,0.25321197509765625,27,37,25
646,2,0.2622690200805664,27,25,38
647,0,0.2031869888305664,41,21,20
648,0,0.31374800205230713,36,25,21
649,1,0.25830399990081787,26,39,29
650,0,0.24575698375701904,40,25,29
651,1,0.30329203605651855,25,38,37
652,0,0.2826499938964844,41,23,25
653,1,0.2268660068511963,19,38,25
654,1,0.3018219470977783,28,41,24
655,1,0.2601839303970337,31,38,24
656,0,0.28254401683807373,40,21,26
657,0,0.2943599224090576,39,24,27
658,2,0.23473703861236572,21,23,39
659,0,0.275177001953125,39,23,21
660,1,0.22548604011535645,24,38,21
661,2,0.24480009078979492,38,26,39
662,1,0.23019897937774658,19,40,26
663,2,0.2336139678955078,25,24,38
664,2,0.26843106746673584,25,19,40
665,0,0.2573130130767822,44,22,27
666,1,0.2762479782104492,22,37,24
667,2,0.21784794330596924,21,21,37
668,0,0.23509907722473145,39,22,21
669,2,0.25008702278137207,20,27,39
670,1,0.22787392139434814,22,40,24
671,0,0.3255350589752197,39,25,24
672,2,0.26134800910949707,25,25,42
673,1,0.2618340253829956,23,38,22
674,0,0.2790110111236572,41,31,30
675,0,0.25193703174591064,36,25,28
676,0,0.25819993019104004,41,26,31
677,2,0.2633230686187744,24,25,41
678,1,0.2275559902191162,24,37,29
679,2,0.25085699558258057,28,25,43
680,1,0.26222097873687744,27,39,27
681,0,0.25396299362182617,39,24,23
682,0,0.2237910032272339,38,21,23
683,1,0.2261749505996704,23,36,23
684,0,0.27446091175079346,39,22,22
685,0,0.22003793716430664,35,30,19
686,2,0.21154999732971191,21,20,40
687,2,0.23277699947357178,24,13,37
688,2,0.2875601053237915,18,22,39
689,1,0.24804401397705078,25,40,23
690,1,0.2765829563140869,24,40,21
691,0,0.2666369676589966,37,26,27
692,0,0.26740801334381104,42,23,25
693,2,0.29129505157470703,28,23,39
694,2,0.25655603408813477,26,26,40
695,1,0.2718939781188965,18,36,28
696,2,0.22397494316101074,20,24,41
697,1,0.33414697647094727,26,41,41
698,1,0.31694793701171875,27,39,27
699,2,0.27499401569366455,23,23,37
700,1,0.280614972114563,24,36,24
701,2,0.2672179937362671,22,26,38
702,0,0.3937530517578125,45,31,29
703,1,0.31858694553375244,26,38,22
704,2,0.2841310501098633,31,26,43
705,0,0.2628819942474365,43,24,36
706,2,0.28900396823883057,25,24,38
707,0,0.24150192737579346,41,20,21
708,1,0.2896469831466675,28,39,26
709,0,0.3010019063949585,41,41,23
710,0,0.3002110719680786,39,24,38
711,2,0.27554595470428467,26,30,42
712,2,0.2412320375442505,27,22,40
713,2,0.21605300903320312,19,19,39
714,0,0.2561839818954468,38,20,25
715,0,0.2691819667816162,43,27,26
716,0,0.2685140371322632,40,24,22
717,1,0.2976800203323364,24,39,27
718,0,0.27720701694488525,41,24,22
719,2,0.27029597759246826,27,20,39
720,0,0.294888973236084,41,25,27
721,2,0.28385305404663086,24,25,38
722,0,0.2975010871887207,43,25,25
723,0,0.29121696949005127,38,26,27
724,0,0.2572970390319824,37,24,25
725,0,0.2552551031112671,39,27,23
726,0,0.2357330322265625,36,27,19
727,0,0.19939899444580078,39,18,24
728,0,0.24385404586791992,40,26,25
729,1,0.28831005096435547,28,42,26
730,2,0.27448606491088867,23,27,40
